yr,r,ec,units,value
1997,co,UTLEXP,billions of us dollars (USD),0.005053
1997,co,LIQEXP,billions of us dollars (USD),0.0
1997,co,INSEXP,billions of us dollars (USD),1.474681
1997,co,DEBTFY,billions of us dollars (USD),3.402235
1997,co,CASHSH,billions of us dollars (USD),23.591436
1997,ct,TOTREV,billions of us dollars (USD),14.51978
1997,ct,GENREV,billions of us dollars (USD),13.014623
1997,ct,INTREV,billions of us dollars (USD),2.943626
1997,ct,TAXREV,billions of us dollars (USD),8.145787
1997,ct,GSALES,billions of us dollars (USD),2.598337
1997,ct,SSALES,billions of us dollars (USD),1.566555
1997,ct,LICTAX,billions of us dollars (USD),0.341262
1997,ct,INDTAX,billions of us dollars (USD),2.807391
1997,ct,CORTAX,billions of us dollars (USD),0.53043
1997,ct,OTHTAX,billions of us dollars (USD),0.301812
1997,ct,CURCHG,billions of us dollars (USD),0.90516
1997,ct,MSCREV,billions of us dollars (USD),1.02005
1997,ct,UTLREV,billions of us dollars (USD),0.022004
1997,ct,LIQREV,billions of us dollars (USD),0.0
1997,ct,INSREV,billions of us dollars (USD),1.483153
1997,ct,TOTEXP,billions of us dollars (USD),13.826021
1997,ct,INTEXP,billions of us dollars (USD),2.480762
1997,ct,CUROPR,billions of us dollars (USD),7.379375
1997,ct,CAPOUT,billions of us dollars (USD),0.859196
1997,ct,INSBEN,billions of us dollars (USD),1.657056
1997,ct,SUBSID,billions of us dollars (USD),0.501572
1997,ct,INTRST,billions of us dollars (USD),0.94806
1997,ct,SALARY,billions of us dollars (USD),2.621209
1997,ct,GENEXP,billions of us dollars (USD),11.951814
1997,ct,EDUCAT,billions of us dollars (USD),2.894082
1997,ct,PUBWEL,billions of us dollars (USD),2.914519
1997,ct,HOSPTL,billions of us dollars (USD),0.977504
1997,ct,HEALTH,billions of us dollars (USD),0.402219
1997,ct,HGHWAY,billions of us dollars (USD),0.756474
1997,ct,POLICE,billions of us dollars (USD),0.109559
1997,ct,CORREC,billions of us dollars (USD),0.493772
1997,ct,NATRES,billions of us dollars (USD),0.076163
1997,ct,PARKRC,billions of us dollars (USD),0.038374
1997,ct,GOVADM,billions of us dollars (USD),0.584411
1997,ct,INTGEN,billions of us dollars (USD),0.94806
1997,ct,OTHUNA,billions of us dollars (USD),1.756677
1997,ct,UTLEXP,billions of us dollars (USD),0.217151
1997,ct,LIQEXP,billions of us dollars (USD),0.0
1997,ct,INSEXP,billions of us dollars (USD),1.657056
1997,ct,DEBTFY,billions of us dollars (USD),17.050816
1997,ct,CASHSH,billions of us dollars (USD),22.887339
1997,de,TOTREV,billions of us dollars (USD),4.210673
1997,de,GENREV,billions of us dollars (USD),3.469482
1997,de,INTREV,billions of us dollars (USD),0.672129
1997,de,TAXREV,billions of us dollars (USD),1.743234
1997,de,GSALES,billions of us dollars (USD),0.0
1997,de,SSALES,billions of us dollars (USD),0.253405
1997,de,LICTAX,billions of us dollars (USD),0.578563
1997,de,INDTAX,billions of us dollars (USD),0.663111
1997,de,CORTAX,billions of us dollars (USD),0.172562
1997,de,OTHTAX,billions of us dollars (USD),0.075593
1997,de,CURCHG,billions of us dollars (USD),0.492495
1997,de,MSCREV,billions of us dollars (USD),0.561624
1997,de,UTLREV,billions of us dollars (USD),0.008037
1997,de,LIQREV,billions of us dollars (USD),0.0
1997,de,INSREV,billions of us dollars (USD),0.733154
1997,de,TOTEXP,billions of us dollars (USD),3.403619
1997,de,INTEXP,billions of us dollars (USD),0.575892
1997,de,CUROPR,billions of us dollars (USD),1.935447
1997,de,CAPOUT,billions of us dollars (USD),0.353323
1997,de,INSBEN,billions of us dollars (USD),0.265983
1997,de,SUBSID,billions of us dollars (USD),0.064111
1997,de,INTRST,billions of us dollars (USD),0.208863
1997,de,SALARY,billions of us dollars (USD),0.786149
1997,de,GENEXP,billions of us dollars (USD),3.098351
1997,de,EDUCAT,billions of us dollars (USD),1.070248
1997,de,PUBWEL,billions of us dollars (USD),0.500817
1997,de,HOSPTL,billions of us dollars (USD),0.060422
1997,de,HEALTH,billions of us dollars (USD),0.166892
1997,de,HGHWAY,billions of us dollars (USD),0.262472
1997,de,POLICE,billions of us dollars (USD),0.052294
1997,de,CORREC,billions of us dollars (USD),0.123147
1997,de,NATRES,billions of us dollars (USD),0.05485
1997,de,PARKRC,billions of us dollars (USD),0.026522
1997,de,GOVADM,billions of us dollars (USD),0.24511
1997,de,INTGEN,billions of us dollars (USD),0.208863
1997,de,OTHUNA,billions of us dollars (USD),0.326714
1997,de,UTLEXP,billions of us dollars (USD),0.039285
1997,de,LIQEXP,billions of us dollars (USD),0.0
1997,de,INSEXP,billions of us dollars (USD),0.265983
1997,de,DEBTFY,billions of us dollars (USD),3.434196
1997,de,CASHSH,billions of us dollars (USD),7.510105
1997,fl,TOTREV,billions of us dollars (USD),41.432077
1997,fl,GENREV,billions of us dollars (USD),34.280835
1997,fl,INTREV,billions of us dollars (USD),8.297195
1997,fl,TAXREV,billions of us dollars (USD),21.08012
1997,fl,GSALES,billions of us dollars (USD),12.06829
1997,fl,SSALES,billions of us dollars (USD),4.012941
1997,fl,LICTAX,billions of us dollars (USD),1.370177
1997,fl,INDTAX,billions of us dollars (USD),0.0
1997,fl,CORTAX,billions of us dollars (USD),1.232731
1997,fl,OTHTAX,billions of us dollars (USD),2.395981
1997,fl,CURCHG,billions of us dollars (USD),1.884316
1997,fl,MSCREV,billions of us dollars (USD),3.019204
1997,fl,UTLREV,billions of us dollars (USD),0.00523
1997,fl,LIQREV,billions of us dollars (USD),0.0
1997,fl,INSREV,billions of us dollars (USD),7.146012
1997,fl,TOTEXP,billions of us dollars (USD),37.463858
1997,fl,INTEXP,billions of us dollars (USD),11.899912
1997,fl,CUROPR,billions of us dollars (USD),17.8176
1997,fl,CAPOUT,billions of us dollars (USD),3.135668
1997,fl,INSBEN,billions of us dollars (USD),2.725951
1997,fl,SUBSID,billions of us dollars (USD),0.980124
1997,fl,INTRST,billions of us dollars (USD),0.904603
1997,fl,SALARY,billions of us dollars (USD),7.393143
1997,fl,GENEXP,billions of us dollars (USD),34.657577
1997,fl,EDUCAT,billions of us dollars (USD),11.599453
1997,fl,PUBWEL,billions of us dollars (USD),7.692925
1997,fl,HOSPTL,billions of us dollars (USD),0.551166
1997,fl,HEALTH,billions of us dollars (USD),1.850393
1997,fl,HGHWAY,billions of us dollars (USD),3.158547
1997,fl,POLICE,billions of us dollars (USD),0.319706
1997,fl,CORREC,billions of us dollars (USD),1.849198
1997,fl,NATRES,billions of us dollars (USD),1.103741
1997,fl,PARKRC,billions of us dollars (USD),0.148305
1997,fl,GOVADM,billions of us dollars (USD),1.535562
1997,fl,INTGEN,billions of us dollars (USD),0.904603
1997,fl,OTHUNA,billions of us dollars (USD),3.943978
1997,fl,UTLEXP,billions of us dollars (USD),0.08033
1997,fl,LIQEXP,billions of us dollars (USD),0.0
1997,fl,INSEXP,billions of us dollars (USD),2.725951
1997,fl,DEBTFY,billions of us dollars (USD),16.021603
1997,fl,CASHSH,billions of us dollars (USD),65.401062
1997,ga,TOTREV,billions of us dollars (USD),24.02845
1997,ga,GENREV,billions of us dollars (USD),19.713921
1997,ga,INTREV,billions of us dollars (USD),6.007066
1997,ga,TAXREV,billions of us dollars (USD),10.897538
1997,ga,GSALES,billions of us dollars (USD),3.915761
1997,ga,SSALES,billions of us dollars (USD),0.989703
1997,ga,LICTAX,billions of us dollars (USD),0.405025
1997,ga,INDTAX,billions of us dollars (USD),4.7412
1997,ga,CORTAX,billions of us dollars (USD),0.726321
1997,ga,OTHTAX,billions of us dollars (USD),0.119528
1997,ga,CURCHG,billions of us dollars (USD),1.500812
1997,ga,MSCREV,billions of us dollars (USD),1.308505
1997,ga,UTLREV,billions of us dollars (USD),0.0
1997,ga,LIQREV,billions of us dollars (USD),0.0
1997,ga,INSREV,billions of us dollars (USD),4.314529
1997,ga,TOTEXP,billions of us dollars (USD),21.975372
1997,ga,INTEXP,billions of us dollars (USD),6.141128
1997,ga,CUROPR,billions of us dollars (USD),11.348238
1997,ga,CAPOUT,billions of us dollars (USD),1.811415
1997,ga,INSBEN,billions of us dollars (USD),1.527409
1997,ga,SUBSID,billions of us dollars (USD),0.761713
1997,ga,INTRST,billions of us dollars (USD),0.385469
1997,ga,SALARY,billions of us dollars (USD),3.248447
1997,ga,GENEXP,billions of us dollars (USD),20.447963
1997,ga,EDUCAT,billions of us dollars (USD),8.93802
1997,ga,PUBWEL,billions of us dollars (USD),5.334599
1997,ga,HOSPTL,billions of us dollars (USD),0.652117
1997,ga,HEALTH,billions of us dollars (USD),0.691605
1997,ga,HGHWAY,billions of us dollars (USD),1.083616
1997,ga,POLICE,billions of us dollars (USD),0.172147
1997,ga,CORREC,billions of us dollars (USD),0.881856
1997,ga,NATRES,billions of us dollars (USD),0.373421
1997,ga,PARKRC,billions of us dollars (USD),0.169144
1997,ga,GOVADM,billions of us dollars (USD),0.487432
1997,ga,INTGEN,billions of us dollars (USD),0.385469
1997,ga,OTHUNA,billions of us dollars (USD),1.278537
1997,ga,UTLEXP,billions of us dollars (USD),0.0
1997,ga,LIQEXP,billions of us dollars (USD),0.0
1997,ga,INSEXP,billions of us dollars (USD),1.527409
1997,ga,DEBTFY,billions of us dollars (USD),6.185586
1997,ga,CASHSH,billions of us dollars (USD),36.319938
1997,hi,TOTREV,billions of us dollars (USD),6.700545
1997,hi,GENREV,billions of us dollars (USD),5.526957
1997,hi,INTREV,billions of us dollars (USD),1.30269
1997,hi,TAXREV,billions of us dollars (USD),3.087946
1997,hi,GSALES,billions of us dollars (USD),1.457274
1997,hi,SSALES,billions of us dollars (USD),0.468697
1997,hi,LICTAX,billions of us dollars (USD),0.089876
1997,hi,INDTAX,billions of us dollars (USD),0.976579
1997,hi,CORTAX,billions of us dollars (USD),0.06757
1997,hi,OTHTAX,billions of us dollars (USD),0.02795
