yr,r,pg,units,value
1997,co,npi,billions of us dollars (USD),6.775
1997,co,nps,billions of us dollars (USD),5.858
1997,ct,pce,billions of us dollars (USD),85.2052
1997,ct,gds,billions of us dollars (USD),28.8068
1997,ct,dur,billions of us dollars (USD),9.4595
1997,ct,mvp,billions of us dollars (USD),3.6647
1997,ct,hdr,billions of us dollars (USD),2.189
1997,ct,rec,billions of us dollars (USD),2.2826
1997,ct,odg,billions of us dollars (USD),1.3232
1997,ct,ndr,billions of us dollars (USD),19.3473
1997,ct,foo,billions of us dollars (USD),6.6297
1997,ct,clo,billions of us dollars (USD),3.8149
1997,ct,enr,billions of us dollars (USD),2.3548
1997,ct,ong,billions of us dollars (USD),6.548
1997,ct,ser,billions of us dollars (USD),56.3983
1997,ct,hce,billions of us dollars (USD),54.7013
1997,ct,utl,billions of us dollars (USD),16.7806
1997,ct,hea,billions of us dollars (USD),11.9441
1997,ct,trn,billions of us dollars (USD),3.4937
1997,ct,rsr,billions of us dollars (USD),2.6308
1997,ct,htl,billions of us dollars (USD),3.9822
1997,ct,fsr,billions of us dollars (USD),7.6826
1997,ct,osr,billions of us dollars (USD),8.1874
1997,ct,npish,billions of us dollars (USD),1.697
1997,ct,npi,billions of us dollars (USD),8.531
1997,ct,nps,billions of us dollars (USD),6.834
1997,de,pce,billions of us dollars (USD),16.2259
1997,de,gds,billions of us dollars (USD),6.04
1997,de,dur,billions of us dollars (USD),2.477
1997,de,mvp,billions of us dollars (USD),1.0576
1997,de,hdr,billions of us dollars (USD),0.3796
1997,de,rec,billions of us dollars (USD),0.6978
1997,de,odg,billions of us dollars (USD),0.342
1997,de,ndr,billions of us dollars (USD),3.563
1997,de,foo,billions of us dollars (USD),1.5736
1997,de,clo,billions of us dollars (USD),0.7189
1997,de,enr,billions of us dollars (USD),0.3728
1997,de,ong,billions of us dollars (USD),0.8977
1997,de,ser,billions of us dollars (USD),10.1859
1997,de,hce,billions of us dollars (USD),9.8589
1997,de,utl,billions of us dollars (USD),2.9505
1997,de,hea,billions of us dollars (USD),2.2908
1997,de,trn,billions of us dollars (USD),0.5494
1997,de,rsr,billions of us dollars (USD),0.6051
1997,de,htl,billions of us dollars (USD),1.0843
1997,de,fsr,billions of us dollars (USD),0.9528
1997,de,osr,billions of us dollars (USD),1.426
1997,de,npish,billions of us dollars (USD),0.327
1997,de,npi,billions of us dollars (USD),1.623
1997,de,nps,billions of us dollars (USD),1.296
1997,dc,pce,billions of us dollars (USD),18.1213
1997,dc,gds,billions of us dollars (USD),5.1634
1997,dc,dur,billions of us dollars (USD),1.6634
1997,dc,mvp,billions of us dollars (USD),0.6969
1997,dc,hdr,billions of us dollars (USD),0.3125
1997,dc,rec,billions of us dollars (USD),0.3799
1997,dc,odg,billions of us dollars (USD),0.2741
1997,dc,ndr,billions of us dollars (USD),3.5
1997,dc,foo,billions of us dollars (USD),1.2087
1997,dc,clo,billions of us dollars (USD),0.753
1997,dc,enr,billions of us dollars (USD),0.5686
1997,dc,ong,billions of us dollars (USD),0.9697
1997,dc,ser,billions of us dollars (USD),12.9579
1997,dc,hce,billions of us dollars (USD),12.7079
1997,dc,utl,billions of us dollars (USD),2.6156
1997,dc,hea,billions of us dollars (USD),2.9538
1997,dc,trn,billions of us dollars (USD),0.5815
1997,dc,rsr,billions of us dollars (USD),0.5026
1997,dc,htl,billions of us dollars (USD),0.8853
1997,dc,fsr,billions of us dollars (USD),1.4304
1997,dc,osr,billions of us dollars (USD),3.7387
1997,dc,npish,billions of us dollars (USD),0.25
1997,dc,npi,billions of us dollars (USD),1.496
1997,dc,nps,billions of us dollars (USD),1.246
1997,fl,pce,billions of us dollars (USD),314.4312
1997,fl,gds,billions of us dollars (USD),114.7405
1997,fl,dur,billions of us dollars (USD),44.4374
1997,fl,mvp,billions of us dollars (USD),18.5109
1997,fl,hdr,billions of us dollars (USD),10.7339
1997,fl,rec,billions of us dollars (USD),11.2462
1997,fl,odg,billions of us dollars (USD),3.9464
1997,fl,ndr,billions of us dollars (USD),70.3032
1997,fl,foo,billions of us dollars (USD),28.9039
1997,fl,clo,billions of us dollars (USD),11.4736
1997,fl,enr,billions of us dollars (USD),7.0256
1997,fl,ong,billions of us dollars (USD),22.9
1997,fl,ser,billions of us dollars (USD),199.6907
1997,fl,hce,billions of us dollars (USD),199.4126
1997,fl,utl,billions of us dollars (USD),58.0946
1997,fl,hea,billions of us dollars (USD),46.3506
1997,fl,trn,billions of us dollars (USD),10.5925
1997,fl,rsr,billions of us dollars (USD),10.5683
1997,fl,htl,billions of us dollars (USD),24.93
1997,fl,fsr,billions of us dollars (USD),23.782
1997,fl,osr,billions of us dollars (USD),25.0947
1997,fl,npish,billions of us dollars (USD),0.278
1997,fl,npi,billions of us dollars (USD),16.261
1997,fl,nps,billions of us dollars (USD),15.983
1997,ga,pce,billions of us dollars (USD),145.2443
1997,ga,gds,billions of us dollars (USD),58.3231
1997,ga,dur,billions of us dollars (USD),21.7576
1997,ga,mvp,billions of us dollars (USD),9.6014
1997,ga,hdr,billions of us dollars (USD),5.5429
1997,ga,rec,billions of us dollars (USD),4.1394
1997,ga,odg,billions of us dollars (USD),2.474
1997,ga,ndr,billions of us dollars (USD),36.5654
